item_name,merchant_supplied_id,variant_id,variation_name,variance,size_variance,price,sale_price,in_stock_rate,photo_url,product_description
Faux Fur Trim Puffer Bomber Jacket,663776758,344-437-00095-100,cloud white - XXL,cloud white,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-100_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819130,344-437-00100-440,espresso - XXS,espresso,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819148,344-437-00100-440,espresso - XS,espresso,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819156,344-437-00100-440,espresso - S,espresso,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819164,344-437-00100-440,espresso - M,espresso,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819615,344-437-00100-440,espresso - L,espresso,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819623,344-437-00100-440,espresso - XL,espresso,XL,"INR9,073.23",,Unavailable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663819631,344-437-00100-440,espresso - XXL,espresso,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5062-00100-440_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867457,344-437-00101-520,mulberry - XXS,mulberry,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867828,344-437-00101-520,mulberry - XS,mulberry,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867844,344-437-00101-520,mulberry - S,mulberry,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868468,344-437-00101-520,mulberry - M,mulberry,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868505,344-437-00101-520,mulberry - L,mulberry,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868513,344-437-00101-520,mulberry - XL,mulberry,XL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868521,344-437-00101-520,mulberry - XXL,mulberry,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-520_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867810,344-437-00101-901,black - XXS,black,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867836,344-437-00101-901,black - XS,black,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867852,344-437-00101-901,black - S,black,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663867861,344-437-00101-901,black - M,black,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868476,344-437-00101-901,black - L,black,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868484,344-437-00101-901,black - XL,black,XL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663868492,344-437-00101-901,black - XXL,black,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5067-00101-901_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
